word,word_hold,avg_flight1,avg_flight2,avg_flight3,avg_flight4,avg_word
I,499,0,0,0,0,109.0
LIKED,1076,68.6,128.0,131.0,234.0,140.4
INFORMATUON,2262,455.3,506.2,499.4,555.9,109.3
ION,2496,124.7,171.3,208.0,254.7,98.7
RETRIEVAL,4040,433.4,497.6,492.3,556.4,107.4
THE,422,10.3,62.7,73.0,146.0,125.0
OST,609,31.3,88.3,88.7,208.3,166.7
IT,983,39.0,101.5,85.5,148.0,109.0
WAS,468,31.3,83.0,98.7,213.0,182.0
THE,312,10.3,57.3,62.3,130.0,104.0
COURSE,905,46.8,122.3,122.2,244.3,145.5
WHICHI,982,189.8,208.2,207.8,226.2,88.3
I,296,0,0,0,0,125.0
TOOK,765,97.5,136.5,144.5,183.5,70.2
IN,234,23.5,46.5,39.0,109.0,132.5
MY,437,7.5,70.0,78.0,140.5,133.0
FIRST,686,28.0,109.2,99.8,218.2,140.2
SEMESTER,1435,206.6,251.5,226.1,271.0,99.5
AND,1217,0.0,56.2,53.0,109.2,81.0
IT,296,8.0,62.5,54.5,109.0,101.0
WAS,1092,31.2,54.5,62.2,148.0,124.8
SOMETHING,1107,39.9,100.4,100.6,223.6,136.9
WHICH,671,146.8,165.6,165.8,190.6,96.6
I,265,0,0,0,0,109.0
HAVE,655,39.0,113.0,109.2,222.2,144.2
D,718,0,0,0,0,109.0
NOT,780,140.0,187.3,197.3,286.0,145.7
TAKEN,702,18.6,106.2,106.0,212.0,134.0
IN,250,23.5,54.5,39.0,117.0,140.5
MY,296,8.0,54.5,62.0,124.5,132.5
UNDERGRADUATES,3261,524.9,544.9,548.3,568.3,95.7
THE,4025,10.3,88.3,78.0,156.0,114.3
LEAST,1498,122.2,226.3,218.5,359.0,158.7
FAVORITE,3916,253.2,336.2,339.8,443.7,123.0
CLASS,858,62.6,140.4,140.4,218.2,105.8
I,281,0,0,0,0,94.0
WOULD,733,46.8,109.2,115.4,215.0,127.6
SAY,561,36.3,78.0,119.3,213.0,176.7
WILL,1139,167.5,230.0,237.8,300.2,93.8
BE,297,23.5,86.0,78.0,140.5,117.0
MACHINE,1467,69.0,167.1,167.1,278.7,129.4
LEARNIG,1669,75.9,193.9,189.4,320.9,144.9
NG,998,8.0,70.5,62.5,125.0,117.0
I,297,0,0,0,0,94.0
AM,266,15.5,39.0,62.5,117.0,132.5
